Date,Activity Type,Title,Distance,Calories,Total Time,Avg HR,Max HR,Avg Speed,Total Ascent,Total Descent,Steps,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Avg Speed Removed,Resting Heart Rate,stress
2025-01-14,Cardio,Bristol Cardio,0.01,412.0,0 days 00:59:59,118.0,199.0,,0.0,0.0,896.0,0 days 00:59:59,1,0 days 00:00:10,0 days 00:59:59,82,89,True,55,31
2025-01-16,Cardio,Cardio,0.0,321.0,0 days 00:53:14,107.0,151.0,,0.0,0.0,776.0,0 days 00:53:14,1,0 days 00:00:00,0 days 00:53:14,76,81,True,56,35
2025-01-20,Cardio,Bristol Cardio,0.03,365.0,0 days 00:59:11,110.0,171.0,,0.0,0.0,421.0,0 days 00:59:11,1,0 days 00:00:12,0 days 00:59:11,84,91,True,56,35
2025-01-20,Cardio,Bristol Cardio,1.93,388.0,0 days 00:39:47,139.0,182.0,,27.0,27.0,421.0,0 days 00:39:47,1,0 days 00:17:31,0 days 00:39:47,66,83,True,56,35
2025-01-22,Cardio,Bristol Cardio,0.0,390.0,0 days 00:58:58,115.0,166.0,,0.0,0.0,421.0,0 days 00:58:58,1,0 days 00:00:07,0 days 00:58:58,86,92,True,56,39
2025-01-24,Treadmill Running,Treadmill Running,5.2,415.0,0 days 00:25:39,169.0,190.0,0 days 00:04:56,0.0,0.0,421.0,0 days 00:02:48.500000,4,0 days 00:24:38,0 days 00:25:39,85,85,False,56,39
2025-01-24,Cardio,Cardio,0.0,423.0,0 days 00:51:23,123.0,166.0,,0.0,0.0,421.0,0 days 00:51:23,1,0 days 00:00:00,0 days 00:51:23,85,92,True,56,39
2025-01-27,Cardio,Bristol Cardio,2.59,530.0,0 days 00:38:35,156.0,195.0,,21.0,21.0,421.0,0 days 00:38:35,1,0 days 00:22:14,0 days 00:38:35,75,82,True,56,39
2025-01-29,Cardio,Cardio,0.0,375.0,0 days 00:50:12,116.0,147.0,,0.0,0.0,674.0,0 days 00:50:12,1,0 days 00:00:00,0 days 00:50:12,66,75,True,56,34
2025-01-31,Treadmill Running,Treadmill Running,10.13,899.0,0 days 00:58:46,163.0,186.0,0 days 00:05:48,0.0,0.0,421.0,0 days 00:02:43.900000,7,0 days 00:58:19,0 days 00:58:46,85,85,False,56,34
2025-02-05,Running,Taunton Deane Running,3.65,306.0,0 days 00:18:47,170.0,190.0,0 days 00:05:09,29.0,29.0,421.0,0 days 00:01:57,3,0 days 00:18:47,0 days 00:18:48,43,58,False,57,28
2025-02-08,Cardio,Bristol Cardio,0.0,312.0,0 days 00:45:12,118.0,164.0,,18.0,18.0,0.0,0 days 00:45:12,1,0 days 00:00:04,0 days 00:45:12,86,91,True,57,28
2025-02-10,Surfing,Desert Point Surfing,0.0,1260.0,0 days 04:00:00,145.0,185.0,,0.0,0.0,0.0,0 days 04:00:00,1,,0 days 04:00:00,85,85,True,57,28
2025-02-11,Running,Taghazout Running,11.3,1169.0,0 days 01:54:52,137.0,168.0,0 days 00:10:10,186.0,186.0,421.0,0 days 00:00:18.900000,8,0 days 01:38:36,0 days 02:10:44,211,360,False,57,28
2025-02-12,Surfing,Tamri Surfing,3.7,1425.0,0 days 02:14:41,146.0,186.0,,0.0,0.0,0.0,0 days 02:14:41,1,0 days 00:15:27,0 days 02:14:41,85,85,True,58,30
2025-02-12,Cardio,Yoga,0.15,334.0,0 days 00:55:48,102.0,144.0,,6.0,6.0,70.0,0 days 00:55:48,1,0 days 00:00:25,0 days 00:55:48,319,384,True,58,30
2025-02-13,Yoga,Yoga,0.0,330.0,0 days 00:55:00,100.0,140.0,,0.0,0.0,0.0,0 days 00:55:00,1,,0 days 00:55:00,85,85,True,58,30
2025-02-13,Surfing,Desert Point Surfing,0.0,788.0,0 days 02:30:00,,,,0.0,0.0,0.0,0 days 02:30:00,1,,0 days 02:30:00,85,85,True,58,30
2025-02-14,Surfing,Surfing K12,0.0,1071.0,0 days 02:30:00,140.0,180.0,,0.0,0.0,0.0,0 days 02:30:00,1,,0 days 02:30:00,85,85,True,58,30
2025-02-15,Cardio,Taghazout Cardio,0.05,265.0,0 days 00:56:50,92.0,130.0,,0.0,0.0,86.0,0 days 00:56:50,1,0 days 00:00:00,0 days 00:56:50,336,375,True,58,30
2025-02-15,Running,Taghazout Running,5.01,433.0,0 days 00:24:59,174.0,188.0,0 days 00:04:59,24.0,24.0,421.0,0 days 00:00:50.800000,4,0 days 00:24:57,0 days 00:24:59,263,381,False,58,30
2025-02-15,Walking,Taghazout Walking,2.16,315.0,0 days 00:26:49,144.0,168.0,0 days 00:12:26,113.0,113.0,421.0,0 days 00:06:11.200000,2,0 days 00:24:45,0 days 00:26:49,256,356,False,58,30
2025-02-17,Cardio,Bristol Cardio,0.05,470.0,0 days 00:54:23,125.0,191.0,,0.0,0.0,421.0,0 days 00:54:23,1,0 days 00:00:34,0 days 00:54:23,84,95,True,58,30
